	Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE	Reaction Time
"b1b2b3b4[2,2,1,2]"	0.019206134	0.01946855	0.020886724	5049.5	0.95	-0.0477918	0.0915548	NA	NA	NA	NA	NA	NA	NA	46.05683589
"b1b2b3b4[1,1,2,2]"	-0.081623953	-0.0818859	-0.079782438	6111.8	0.95	-0.128536	-0.0333796	NA	NA	NA	NA	NA	NA	NA	-174.5260872
"b1b2b3b4[2,1,2,2]"	-0.091533941	-0.09174035	-0.088539382	6092.7	0.95	-0.149469	-0.0321305	NA	NA	NA	NA	NA	NA	NA	-193.5683829
"b1b2b3b4[1,2,2,2]"	-0.070758894	-0.07076585	-0.070166507	5132.3	0.95	-0.12667	-0.0148529	NA	NA	NA	NA	NA	NA	NA	-153.1431345
"b1b2b3b4[2,2,2,2]"	0.000277169	7.91316e-05	0.002038275	6119.8	0.95	-0.072619	0.0721599	NA	NA	NA	NA	NA	NA	NA	0.650277406
"b1b2b3b4[1,1,3,2]"	-0.082331689	-0.0825996	-0.079150482	5800.8	0.95	-0.169365	0.0112079	NA	NA	NA	NA	NA	NA	NA	-175.9004748
"b1b2b3b4[2,1,3,2]"	-0.094680905	-0.0955649	-0.095941532	5999.1	0.95	-0.181801	0.00183897	NA	NA	NA	NA	NA	NA	NA	-199.5250175
"b1b2b3b4[1,2,3,2]"	0.128279568	0.1288435	0.133267533	5598.4	0.95	0.0462501	0.207914	NA	NA	NA	NA	NA	NA	NA	350.0181663
"b1b2b3b4[2,2,3,2]"	-0.066532147	-0.06663955	-0.064819527	5732.2	0.95	-0.14548	0.0133672	NA	NA	NA	NA	NA	NA	NA	-144.6790858
"b1b2b3b4[1,1,1,3]"	0.039106217	0.03884045	0.035523813	5521.1	0.95	-0.0211425	0.103337	NA	NA	NA	NA	NA	NA	NA	95.97570598
"b1b2b3b4[2,1,1,3]"	-0.067176369	-0.0671282	-0.069616342	3741.8	0.95	-0.115584	-0.0156158	NA	NA	NA	NA	NA	NA	NA	-145.9744659
"b1b2b3b4[1,2,1,3]"	-0.066121309	-0.0660986	-0.062916412	5739	0.95	-0.122961	-0.00976571	NA	NA	NA	NA	NA	NA	NA	-143.8519828
"b1b2b3b4[2,2,1,3]"	-0.236964454	-0.2375735	-0.240962907	5708	0.95	-0.301061	-0.168707	NA	NA	NA	NA	NA	NA	NA	-428.3419994
