Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
a4SD	0.272054141492	0.225075	0.173005104993114	1154.6	0.95	0.0679293	0.580745	NA	NA	NA	NA	NA	NA	NA
a1a2a3a4SD	0.158578859342	0.156864	0.155423553390076	5254.4	0.95	0.12067	0.19818	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,1,1]	0.118698745244	0.116905	0.11432212507229	23389.8	0.95	0.0857035	0.155845	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,1,1]	0.13599918455	0.1339535	0.130953400174812	24309.2	0.95	0.0965816	0.177838	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,1,1]	0.139405376786	0.137456	0.133626151622021	25365.9	0.95	0.101301	0.182297	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,1,1]	0.143695476194	0.1413095	0.136264883313509	21526.7	0.95	0.0974642	0.193044	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,2,1]	0.11428625014	0.112447	0.107855180860037	23804.7	0.95	0.0800863	0.150469	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,2,1]	0.082037676848	0.08068695	0.0775294801855331	23284.5	0.95	0.0573129	0.109073	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,2,1]	0.14340798337	0.1412405	0.137429765422403	22036.5	0.95	0.100549	0.191058	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,2,1]	0.092970684888	0.09126445	0.0888850131547977	21992.7	0.95	0.0652562	0.124949	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,3,1]	0.21593998576	0.213146	0.206301830354509	26143.4	0.95	0.159203	0.280288	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,3,1]	0.149686185424	0.1475955	0.144121985371299	25384.3	0.95	0.107434	0.193794	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,3,1]	0.19094756012	0.188421	0.182995384431776	22947.9	0.95	0.135494	0.250024	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,3,1]	0.17672053133	0.1742005	0.169351812768936	23798.5	0.95	0.126887	0.230496	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,1,2]	0.144327528746	0.142163	0.140740405441587	23788.1	0.95	0.100843	0.193135	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,1,2]	0.145659968622	0.1435795	0.139839471448715	24972.2	0.95	0.103368	0.191835	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,1,2]	0.17811742936	0.1749695	0.167693376901209	21691.1	0.95	0.121353	0.239391	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,1,2]	0.19276949868	0.1901475	0.188464884697735	25014.9	0.95	0.137886	0.251528	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,2,2]	0.117560980034	0.115612	0.111635322202407	20480.1	0.95	0.0797995	0.158816	NA	NA	NA	NA	NA	NA	NA
